fulltitle,year_x,rank_x,title_x,artist_x,title_lower,date,year_y,title_y,simple_title,artist_y,main_artist,peak_pos,last_pos,weeks,rank_y,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,lyrics
'Cause, girl, you're amazing
Just the way you are, hey

Her lips, her lips
I could kiss them all day if she let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful
And I tell her everyday

Oh, you know, you know
You know I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say

When I see your face
There is not a thing that I would change
'Cause you're amazing
Just the way you are

And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are

And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are, yeah"

5.Only Girl (In the World)- Rihanna,2010,5,Only Girl (In the World), Rihanna,only girl (in the world),3/26/11,2011.0,Only Girl (In The World),only girl,rihanna,rihanna,1.0,40.0,27.0,42.0,-2,https://embed.spotify.com/?uri=spotify:track:1VDXQhu7YGdbM6UeEIfsaX,1VDXQhu7YGdbM6UeEIfsaX,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71002023,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",r&b,https://api.spotify.com/v1/audio-analysis/1VDXQhu7YGdbM6UeEIfsaX,0.721,0.0735,125.896,0.0414,0.114,8.11E-06,4,0.781,11,235493,-4.167,0.618,0,"La la la la
La la la la
La la la la (uh, yeah)
La la la la

I want you to love me
Like I'm a hot ride (uh, yeah)
Be thinkin' of me (uh)
Doin' what you like

So, boy, forget about the world
'Cause it's gon' be me and you tonight (yeah)
I wanna make you beg for it
Then I'm gon' make you swallow your pride, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

Want you to take it like a thief in the night
Hold me like a pillow, make me feel right
Baby, I'll tell you all my secrets that I'm keepin', you can come inside
And when you enter, you ain't leavin', be my prisoner for the night, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Make it last all night

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world, girl in the world
Only girl in the world, girl in the world"

6.Runaway- Kanye West (featuring Pusha T),2010,6,Runaway, Kanye West (featuring Pusha T),runaway,11/21/09,2009.0,Runaway,runaway,love and theft,love and theft,65.0,76.0,11.0,98.0,-22,https://embed.spotify.com/?uri=spotify:track:3x5VSzCT9x9LB6uPomLZXs,3x5VSzCT9x9LB6uPomLZXs,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USV2L0920098,"[u'contemporary country', u'country', u'country road', u'lift kit', u'modern country rock']",country,https://api.spotify.com/v1/audio-analysis/3x5VSzCT9x9LB6uPomLZXs,0.812,0.14,140.486,0.0399,0.142,0,4,0.592,1,229760,-4.334,0.577,0,"It's been a long week
I've got a slow leak in my left front tire
...
I'm sick of where I work

My boss is such a jerk, don't care if I get fired
...
My back's about to break
No money in the bank

And she don't call me anymore
...
I'm down to my last drink, it's time to sell my things

And pack my bags and never look back
Run a parallel line with the railroad tracks
...
And make my getaway

...
I'll put the pedal to the metal as the sun goes down
Leave everybody sleepin' in this sleepy town tonight
...

At the break of day
I'll be a runaway
...
A hundred miles in, I got a stupid grin

On my scruffy face
...
With every cigarette I'm burnin' my regrets

Don't want to leave a trace
And from the rearview, I've got clear view
Of who I used to be
A little bit faster now
Ddon't wanna turn around

I'm gonna pack my bags and never look back
Run a parallel line with the railroad tracks
...
And make my getaway

...
I'll put the pedal to the metal as the sun goes down
Leave everybody sleepin' in this sleepy town tonight

...
And at the break of day
I'll be a runaway, I'll be a runaway
(I'll be a runaway, I'll be a runaway, I'll be a runaway)
It's crazy, I know, to count on this road
To give me what I need
But with every state line
Somehow I find another part of me, yeah, yeah
...
I'm gonna pack my bags and never look back
Run a parallel line with the railroad tracks
...
And make my get away
...
I'll put the pedal to the metal as the sun goes down
Leave everybody sleepin' in this sleepy town tonight
...
And at the break of day
I'll be a runaway, I'll be a runaway
(I'll be a runaway, I'll be a runaway, I'll be a runaway)
(I'll be a runaway, I'll be a runaway, I'll be a runaway)
..."

7.Firework- Katy Perry,2010,7,Firework, Katy Perry,firework,7/30/11,2011.0,Firework,firework,katy perry,katy perry,1.0,36.0,39.0,45.0,-9,https://embed.spotify.com/?uri=spotify:track:4lCv7b86sLynZbXhfScfm2,4lCv7b86sLynZbXhfScfm2,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCA31000112,"[u'dance pop', u'pop', u'post-teen pop']",pop,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,0.826,0.0803,124.072,0.0479,0.139,0,4,0.638,8,227880,-4.968,0.649,1,"Do you ever feel like a plastic bag?
Drifting through the wind
Wanting to start again
Do you ever feel, feel so paper-thin?
Like a house of cards
One blow from caving in

Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

You don't have to feel like a wasted space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow

Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through-ough-ough

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon"

9.California Gurls- Katy Perry (featuring Snoop Dogg),2010,9,California Gurls, Katy Perry (featuring Snoop Dogg),california gurls,11/27/10,2010.0,California Gurls,california gurls,katy perry,katy perry,1.0,44.0,27.0,50.0,-6,https://embed.spotify.com/?uri=spotify:track:0uslfroVWg7qGWhdduwC0K,0uslfroVWg7qGWhdduwC0K,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=TIVEV1011948,"[u'dance pop', u'pop', u'post-teen pop']",pop,https://api.spotify.com/v1/audio-analysis/0uslfroVWg7qGWhdduwC0K,0.76,0.127,125.04,0.0503,0.00455,0,4,0.791,0,236253,-3.785,0.444,1,"Greetings loved ones
Let's take a journey

I know a place
Where the grass is really greener
Warm, wet and wild
There must be something in the water
Sippin' gin and juice
Laying underneath the palm trees (undone)
The boys
Break their necks
Try'na to creep a little sneak peek
(at us)

You could travel the world
But nothing comes close
To the golden coast
Once you party with us
You'll be falling in love
Oooooh Oh Oooooh

California girls
We're unforgettable
Daisy Dukes
Bikinis on top
Sun-kissed skin
So hot
We'll melt your popsicle
Oooooh Oh Oooooh

California girls
We're undeniable
Fine, fresh, fierce
We got it on lock
West coast represent
Now put your hands up
Oooooh Oh Oooooh

Sex on the beach
We don't mind sand in our stilettoes
We freak
In my jeep
Snoop Doggy Dogg on the stereo

You could travel the world
But nothing comes close
To the golden coast
Once you party with us
You'll be falling in love
Oooooh Oh Oooooh

California girls
We're unforgettable
Daisy Dukes
Bikinis on top
Sun-kissed skin
So hot
We'll melt your popsicle
Oooooh Oh Oooooh

California girls
We're undeniable
Fine, fresh, fierce
We got it on lock
West coast represent
Now put your hands up
Oooooh Oh Oooooh

Tone, tan
Fit and ready
Turn it up cause its gettin' heavy
Wild wild west coast
These are the girls I love the most
I mean the ones, I mean like she's the one
Kiss her, Touch her
Squeeze her buns
The girl's a freak, She drive a jeep
In Laguna Beach

I'm okay, I won't play, I love the bay
Just like I love LA
Venice beach and Palm Springs
Summertime is everything
Homeboys
Bangin' out
All that ass, Hangin' out
Bikinis, zucchinis, Martinis, no weenies
Just the King and the Queeny
Katy my lady (yeah)

Lookie here baby (uh huh)
I'm all up on ya
Cuz you're representin' California (ohhh yeahh)
California girls
We're unforgettable
Daisy Dukes
Bikinis on top
Sun-kissed skin
So hot
We'll melt your popsicle
Oooooh Oh Oooooh
California girls
We're undeniable
Fine, fresh, fierce
We got it on lock
West coast represent
(West coast, west coast)
Now put your hands up
Oooooh Oh Oooooh
California...
California girls man (California Gurls)
California...
California Gurls"

10.S&M- Rihanna,2010,10,S&M, Rihanna,s&m,7/23/11,2011.0,S&M,s&m,rihanna,rihanna,2.0,47.0,26.0,50.0,-3,https://embed.spotify.com/?uri=spotify:track:0C4ejWmOTMv8vuYj85mf8m,0C4ejWmOTMv8vuYj85mf8m,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71002981,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",r&b,https://api.spotify.com/v1/audio-analysis/0C4ejWmOTMv8vuYj85mf8m,0.672,0.197,127.969,0.0471,0.0133,9.76E-05,4,0.764,1,243533,-5.007,0.779,1,"Na na na, come on
Na na na, come on
Na na na, na na come on
Na na na, come on, come on
Come on, na na-na na come on
Na na na, come on
Na na na, na na, come on
Na na na, come on, come on
Come on, na na na na

Feels so good being bad (Oh-oh-oh-oh-oh)
There's no way I'm turning back (Oh-oh-oh-oh-oh)
Now the pain is for pleasure 'cause nothing can measure (Oh, oh, oh-oh-oh)

Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, out of line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more (Oh, oh, oh-oh-oh)

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

Na na na come on, come on, come on,
I like it, like it come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, out of line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more (Oh, oh, oh-oh-oh)

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

Na na na come on, come on, come on,
I like it, like it come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

S, S, S and M, M, M
S, S, S and M, M, M

Oh, I love the feeling you bring to me, oh, you turn me on
It's exactly what I've been yearning for give it to me strong
And meet me in my boudoir make my body say ah, ah, ah, I like it

(Like it) 'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite

(Me) Na na na come on, come on, come on,
I like it, like it, come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

S, S, S and M, M, M
S, S, S and M, M, M
S, S, S and M, M, M
S, S, S and M, M, M"

10.S&M- Rihanna,2010,10,S&M, Rihanna,s&m,4/30/11,2011.0,S&M,s&m,rihanna,rihanna,1.0,2.0,14.0,1.0,1,https://embed.spotify.com/?uri=spotify:track:2PQ0GyIYxsYGkcMdeZqItT,2PQ0GyIYxsYGkcMdeZqItT,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71002981,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",r&b,https://api.spotify.com/v1/audio-analysis/2PQ0GyIYxsYGkcMdeZqItT,0.675,0.196,127.969,0.0445,0.0131,8.93E-05,4,0.765,1,243533,-4.999,0.802,1,"Na na na, come on
Na na na, come on
Na na na, na na come on
Na na na, come on, come on
Come on, na na-na na come on
Na na na, come on
Na na na, na na, come on
Na na na, come on, come on
Come on, na na na na

Feels so good being bad (Oh-oh-oh-oh-oh)
There's no way I'm turning back (Oh-oh-oh-oh-oh)
Now the pain is for pleasure 'cause nothing can measure (Oh, oh, oh-oh-oh)

Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, out of line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more (Oh, oh, oh-oh-oh)

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

Na na na come on, come on, come on,
I like it, like it come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, out of line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more (Oh, oh, oh-oh-oh)

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

Na na na come on, come on, come on,
I like it, like it come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

S, S, S and M, M, M
S, S, S and M, M, M

Oh, I love the feeling you bring to me, oh, you turn me on
It's exactly what I've been yearning for give it to me strong
And meet me in my boudoir make my body say ah, ah, ah, I like it

(Like it) 'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite me

'Cause I may be bad but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones but chains and whips excite

(Me) Na na na come on, come on, come on,
I like it, like it, come on, come on, come on
I like it, like it, come on, come on, come on
I like it, like it come on, come on, come on
I like it, like it

S, S, S and M, M, M
S, S, S and M, M, M
S, S, S and M, M, M
S, S, S and M, M, M"

2.Born This Way- Lady Gaga,2011,2,Born This Way, Lady Gaga,born this way,7/9/11,2011.0,Born This Way,born this way,lady gaga,lady gaga,1.0,56.0,20.0,57.0,-1,https://embed.spotify.com/?uri=spotify:track:0FC7X3BRdEJC8L4ZEUAv2Q,0FC7X3BRdEJC8L4ZEUAv2Q,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71100098,"[u'dance pop', u'pop', u'post-teen pop']",pop,https://api.spotify.com/v1/audio-analysis/0FC7X3BRdEJC8L4ZEUAv2Q,0.828,0.352,123.986,0.133,0.00578,0,4,0.616,11,260467,-4.736,0.576,1,"It doesn't matter if you love him or capital H-I-M
Just put your paws up
'Cause you were born this way, baby

My mama told me when I was young
We are all born superstars
She rolled my hair and put my lipstick on
In the glass of her boudoir

""There's nothing wrong with loving who you are""
She said: ""'Cause He made you perfect, babe
So hold your head up, girl, and you'll go far
Listen to me when I say""

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way (born this way)

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
Right track, baby, I was born this way

Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be, don't be, don't be

Give yourself prudence and love your friends
Subway kid, rejoice your truth
In the religion of the insecure
I must be myself, respect my youth

A different lover is not a sin
Believe capital H-I-M (hey, hey, hey)
I love my life, I love this record, and
Mi amore vole fe, yah (same DNA)

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
I'm on the right track, baby
I was born this way

Don't be a drag, just be a queen
Whether you're broke or evergreen
You're black, white, beige, chola descent
You're Lebanese, you're Orient

Whether life's disabilities
Left you outcast, bullied, or teased
Rejoice and love yourself today
'Cause, baby, you were born this way

No matter gay, straight, or bi
Lesbian, transgendered life
I'm on the right track, baby
I was born to survive

No matter black, white, or beige
Chola or orient made
I'm on the right track, baby
I was born to be brave

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way, yeah

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
I'm on the right track, baby
I was born this way

I was born this way, hey
I was born this way, hey
I'm on the right track, baby
I was born this way, hey

I was born this way, hey
I was born this way, hey
I'm on the right track, baby
I was born this way, hey

Same DNA, but born this way
Same DNA, but born this way"

3.Party Rock Anthem- LMFAO (featuring Lauren Bennett),2011,3,Party Rock Anthem, LMFAO (featuring Lauren Bennett),party rock anthem,7/21/12,2012.0,Party Rock Anthem,party rock anthem,lmfao,lmfao,1.0,50.0,68.0,49.0,1,https://embed.spotify.com/?uri=spotify:track:1CNJyTUh56oj3OCZOZ5way,1CNJyTUh56oj3OCZOZ5way,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71100071,"[u'dance pop', u'edm', u'pop rap']",edm,https://api.spotify.com/v1/audio-analysis/1CNJyTUh56oj3OCZOZ5way,0.727,0.272,130.015,0.16,0.0246,0,4,0.752,5,263360,-4.161,0.361,0,"Party rock!
Yeah
Woo!
Let's go

Party rock is in the house tonight
Everybody just have a good time
And we gon' make you loose your mind (wooo!)

Everybody just have a good time

Party rock is in the house tonight (ooww!)
Everybody just have a good time

And we gon' make you loose your mind (yeah!)

We just wanna see you...

Shake that!

In the club party rock
Look a pretty girl she on my jock (huh!)
Non-stop when we in the spot
Booty on the way like she on the block (wooo!)
With a drink I gots' to know
Tight jeans, tattoos, cause I'm rock n' roll
Half black, half white, domino
Gain the money out the door
YOO!
I'm runnin' through these hoes like drano
I got that devilish flow rock n' roll, no halo
We party rock!
Yeah, that's the crew that I'm reppin'
On the rise to the stop no led in our zeppelin (heeeey!)
Party rock is in the house tonight (wooo!)
Everybody just have a good time (hey!)
And we gon' make you loose your mind
Everybody just have a good time (let's go!)
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you loose your mind
We just wanna see you...
Shake that!
Everyday i'm shuffling
Shuffling Shuffling
Step up fast & be the first girl to make me throw this cash
We gettin' money, don't be mad now stop. Hating is bad
One more shot for us

Another round (another round!)
Please fill up my cup (don't mess around!)
Bitches wanna' see (you shake it now!)
Now you wanna be (you're naked now!)

Get up
Get down
Put your hands up to the sound
Get up
Get down
Put your hands up to the sound
Get up
Get down
Put your hands up to the sound
Put your hands up to the sound
Put your hands up to the sound
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Put your hands up to the sound

To the sound
Put your hands up
Put your hands up
Put your hands up
Put your hands up

Party rock is in the house tonight (put your hands up)
Everybody just have a good time (put your hands up)
And we gon' make you loose your mind (put your hands up)
Everybody just have a
Good Good Good

Time
Ooohh! Ooooh! (put your hands up)
Ooohh! Ooooh! Ooh! Ooh!
Ooohh! Ooooh! (put your hands up)
Ooohh! Ooooh! (put your hands up)
Shake that!

Everyday I'm shu-ff-ffling
Put your
Put your
Put your
Put your (Yeaah!)
Put your
Put your (Wooo!)
Put your
Put your
Your hands up
Your hands up
Put your hands up"

5.Moves like Jagger- Maroon 5 (featuring Christina Aguilera),2011,5,Moves like Jagger, Maroon 5 (featuring Christina Aguilera),moves like jagger,6/9/12,2012.0,Moves Like Jagger,moves like jagger,maroon 5,maroon 5,1.0,49.0,49.0,48.0,1,https://embed.spotify.com/?uri=spotify:track:7LcfRTgAVTs5pQGEQgUEzN,7LcfRTgAVTs5pQGEQgUEzN,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71101090,[u'pop'],pop,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,0.748,0.325,128.03,0.0546,0.0106,0,4,0.714,11,201160,-4.471,0.586,0,"Oh
Oh
Just shoot for the stars, If it feels right
Then aim for my heart, If you feel like

You take me away, You make it okay
I swear I'll behave.
You wanted control, So we waited.
I put on a show, Now we're naked.
You say I'm a kid

My ego is bare, I don't give a shit!
...And it goes like this.
Take me by the tongue
And I'll know you
Kiss me til you're drunk and I'll show you
You wanna move like jagger

I got the moves like jagger
I got the moo oo oo oo oo oo oo oo oo ves like jagger
I don't need to try and control you
